,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
881,Recurso,3AQP,556.16,556.6,557.48,556.6,556.6,566.72,550.88,539.0,542.08,355.08,26.4,23.32,43.12,,453.2,465.08,449.24,434.28,437.36,439.56,434.72,323.84,481.36,436.04,2024-08-31
1162,Recurso,3AQP,433.4,434.72,435.16,435.6,435.6,443.08,468.16,473.0,482.68,457.16,440.0,452.32,446.6,445.72,436.04,416.24,406.56,399.52,403.92,423.28,423.72,422.84,421.96,421.08,2024-09-01
1439,Recurso,3AQP,413.16,415.36,427.68,429.0,427.68,428.12,415.36,274.12,146.52,421.52,399.08,371.8,67.76,462.88,493.24,453.2,431.2,422.4,423.28,440.0,444.84,448.36,449.24,449.24,2024-09-02
1722,Recurso,3AQP,450.12,451.44,453.64,461.12,461.12,485.32,500.72,453.64,494.56,487.08,353.32,502.48,505.12,519.2,450.56,531.96,476.52,456.72,484.44,477.84,462.88,502.48,478.72,480.92,2024-09-03
1998,Recurso,3AQP,479.6,475.2,459.8,451.0,454.96,462.88,476.96,481.36,469.92,485.32,499.84,508.2,504.68,452.76,455.84,465.52,470.36,470.36,477.4,476.08,458.04,421.52,455.4,467.72,2024-09-04
2277,Recurso,3AQP,474.76,481.36,459.36,449.24,427.68,659.12,720.72,565.84,536.36,519.64,490.6,520.96,492.8,476.08,487.52,469.92,480.04,468.16,462.88,451.44,469.92,469.92,455.84,456.28,2024-09-05
2554,Recurso,3AQP,456.28,456.72,456.28,455.84,455.84,457.16,469.92,430.76,463.76,486.2,484.44,479.6,433.84,435.6,431.2,416.24,421.96,423.72,406.56,445.72,419.32,433.4,435.16,434.72,2024-09-06
2829,Recurso,3AQP,433.84,421.96,398.64,408.32,408.32,415.8,403.92,423.72,423.28,441.76,462.44,466.4,488.4,496.32,446.16,459.8,444.84,439.56,423.28,453.64,418.0,447.92,429.88,431.2,2024-09-07
3107,Recurso,3AQP,432.52,444.4,438.68,414.48,425.92,435.16,432.08,426.36,419.76,425.48,449.68,468.16,446.16,445.72,446.6,445.28,440.0,423.28,414.48,407.44,429.88,418.0,419.32,389.84,2024-09-08
3386,Recurso,3AQP,437.36,440.0,416.24,411.84,412.28,412.28,411.4,411.4,412.72,337.92,428.56,427.68,438.24,440.44,208.56,113.52,474.32,442.2,403.04,408.32,409.64,411.4,418.0,417.56,2024-09-09
